company_norm,total_outlets,regions_count,mmdas_count,wholesale_outlets,retail_outlets,regions_list
Jonny-Bow Pharmacy Limited,2,1,1,0,2,Greater Accra
Abbypharma Limited,2,1,1,0,2,Greater Accra
Klins Pharmacy,2,1,1,1,1,Central
Kisal Pharmacy,2,2,2,1,1,"Ashanti, Brong Ahafo"
Magold Pharmacy,2,1,1,0,2,Greater Accra
Eric Chemists,2,2,2,1,1,"Eastern, Greater Accra"
Maalyiri Pharmacy,2,1,2,1,1,Upper West
Wonowana Pharmacy,2,1,1,1,1,Upper West
Klad Pharmacy Limited,2,1,1,0,2,Greater Accra
Anstand Chemist Limited,2,2,2,2,0,"Central, Eastern"
