district,region,population,outlets,wholesale,pharmacies_per_100k,pop_per_pharmacy,hhi
Ga East Municipal,Greater Accra,283255.0,160,43,56.486205009620306,1770.34375,70.0
Adentan Municipal,Greater Accra,265610.0,203,37,76.42784533714845,1308.423645320197,55.0
Kumasi Metropolitan Area (KMA),Ashanti,444163.0,471,166,106.04215119224247,943.0212314225053,29.0
Tema Metropolitan Area (TMA),Greater Accra,178138.0,199,43,111.71114529185239,895.1658291457286,92.0
Accra Metropolitan Area (AMA),Greater Accra,284628.0,628,278,220.63886897986143,453.22929936305735,40.0
Ahafo Ano South Municipal,,,3,2,,,
Atwima Nwabiagya North Municipal,,,28,5,,,
Berekum East,,,7,3,,,
East Akim Municipal,,,8,3,,,
Nkwanta North,,,4,3,,,
Techiman South Municipal,,,3,2,,,
