chain,outlets,total_pop_served,mmda_count,regions,pop_per_outlet,avg_mmda_pop
BENFLO PHARMACY LTD,1,20576.333333333332,1,1,20576.333333333332,20576.333333333332
HEALTHY 'U' PHARMACY LTD,1,20576.333333333332,1,1,20576.333333333332,20576.333333333332
MONBEE PHARMACY LIMITED,1,20576.333333333332,1,1,20576.333333333332,20576.333333333332
RICOMONS PHARMACY LIMITED,1,20576.333333333332,1,1,20576.333333333332,20576.333333333332
ED-TRUST PHARMACY LTD,1,20063.5,1,1,20063.5,20063.5
AID INN PHARMACY,3,20059.150263680567,2,1,6686.383421226856,10029.575131840284
BEL-WINU PHARMACY LTD,1,20036.714285714286,1,1,20036.714285714286,20036.714285714286
MAM PHARMACEUTICALS LTD,1,20036.714285714286,1,1,20036.714285714286,20036.714285714286
NEW-LIFE PHARMACY,1,20036.714285714286,1,1,20036.714285714286,20036.714285714286
BENJELO PHARMACY LTD,1,19908.6,1,1,19908.6,19908.6
TOMJOY PHARMACY,1,19908.6,1,1,19908.6,19908.6
KOBINKO PHARMACY,1,19908.6,1,1,19908.6,19908.6
JUJAQ PHARMACY LTD,1,19908.6,1,1,19908.6,19908.6
SUNKWAPHARM,1,19908.6,1,1,19908.6,19908.6
FAVEO PHARMACY LTD,1,19821.0,1,1,19821.0,19821.0
EMAD PHARMACY LTD.,1,19821.0,1,1,19821.0,19821.0
QUALITY LIFE PHARMACY LTD,1,19704.5,1,1,19704.5,19704.5
5K PHARMACEUTICALS LIMITED,1,19704.5,1,1,19704.5,19704.5
SAS PHARMACY LTD,1,19704.5,1,1,19704.5,19704.5
AMEN AMEN PHARMACY LTD.,1,19704.5,1,1,19704.5,19704.5
GLATESON PHARMACY,1,19704.5,1,1,19704.5,19704.5
GIABENA PHARMACY LTD,1,19676.25,1,1,19676.25,19676.25
GILTER PHARMACY LTD,1,19676.25,1,1,19676.25,19676.25
RIAD PHARMACEUTICAL COMPAN,1,19676.25,1,1,19676.25,19676.25
HAFEL PHARMACY,1,19676.25,1,1,19676.25,19676.25
SAHARA PHARMACY,1,19531.5,1,1,19531.5,19531.5
JEHOVAH SHAMMAH PHARMACY,1,19531.5,1,1,19531.5,19531.5
EBENBETH PHARMACY,1,19531.5,1,1,19531.5,19531.5
FAHBABS FORTRESS PHARMACY,1,19531.5,1,1,19531.5,19531.5
HEDGE PHARMACY,1,19531.5,1,1,19531.5,19531.5
KOJOKROM PHARMACY,1,19531.5,1,1,19531.5,19531.5
LAUGH PHARMACY,1,19455.5,1,1,19455.5,19455.5
RIGHTWAY PHARMACY LTD.,1,19455.5,1,1,19455.5,19455.5
FLY ZIPLINE GHANA LTD.,1,19455.5,1,1,19455.5,19455.5
BIJAY PHARMACY LTD.,1,19455.5,1,1,19455.5,19455.5
PP PHARMACY LTD,1,19283.5625,1,1,19283.5625,19283.5625
