region,district,urbrur,population
Upper East,Tempane,Urban,12751
Western North,Sefwi Akontombra,Urban,12549
Ashanti,Amansie Central,Urban,12121
Bono East,Nkoranza North,Urban,12081
Volta,Afadzato South,Urban,11969
Eastern,New Juaben North Municipal,Rural,11910
Upper East,Garu,Urban,11869
Upper East,Bolgatanga East,Urban,11781
Volta,Central Tongu,Urban,11250
Ashanti,Akrofuom,Urban,10799
Northern,Saboba,Urban,10785
Northern,Tatale Sanguli,Urban,10605
Eastern,Okere,Urban,10489
Eastern,Abuakwa North Municipal,Rural,10407
Upper East,Talensi,Urban,10390
Northern,Mion,Urban,9876
Upper West,Lawra Municipal,Urban,9421
Central,Effutu Municipal,Rural,8931
Volta,Agortime-Ziope,Urban,8907
Upper West,Lambussie Karni,Urban,7837
Upper West,Sissala West,Urban,7562
Upper East,Bongo,Urban,7308
Bono East,Sene East,Urban,7129
Central,Awutu Senya East Municipal,Rural,6769
Upper West,Nandom,Urban,6730
Upper East,Builsa South,Urban,5859
Upper East,Builsa North Municipal,Urban,5780
Upper West,Wa East,Urban,5619
Ashanti,Sekyere Afram Plains,Urban,5571
Upper West,Daffiama Bussie Issa,Urban,5110
Eastern,New Juaben South Municipal,Rural,4670
Eastern,Birim Central Municipal,Rural,2330
