client_clean,total_products,drug_products,food_products,countries_sourced,local_products,valid_products,import_pct,drug_pct
Asterisks Lifesciences,11,11,0,1,0,11,100.0,100.0
"Kingdom Books And Stationery Limited., Osu",10,0,10,1,0,10,100.0,0.0
"Meyer Organics Pvt Limited, A 177 Road No. 16 Wagle Estate Thane 400 604 Mumbai Maharashtra India",10,10,0,2,1,6,90.0,100.0
"Baoding Sunlight Heib Medicament Co. Limited, No 3881, Great Wall South Street. Baoding City Hebei Province China",10,10,0,1,0,10,100.0,100.0
Delma Pharma Limited,10,10,0,1,0,8,100.0,100.0
"Benyima Farms Limited., Accra",10,0,10,1,9,9,10.0,0.0
Til Healthcare Private Limited,10,10,0,1,0,10,100.0,100.0
Shalina Healthcare Dmcc 30Th Floor Almas Towers Jumeirah Lakes Dubai United Arab Emirates,10,10,0,2,4,10,60.0,100.0
Incepta Pharmaceuticals Limited,10,10,0,1,0,10,100.0,100.0
"Boafowura Limited. Co., Tema",10,0,10,5,0,10,100.0,0.0
Abyak Pharma Limited,10,10,0,2,0,10,100.0,100.0
"Naadukof Vent., Kumasi, A/R",10,0,5,6,0,10,100.0,0.0
"Multipro Private Limited.,Tema",10,0,10,2,0,9,100.0,0.0
"Abimat Frozen Food, Tema",10,0,5,6,0,10,100.0,0.0
Imexco Trading Ventures Limited,10,0,10,4,0,10,100.0,0.0
Pharmanova Limited - P. O. Box At 579 Achimota Accra,10,10,0,2,1,10,90.0,100.0
"Lavina Pharmaceuticals Private Limited - Office No 402 4Th Floor Satra Plaza Plot No 19 20 Sector 19D Vashi Navi Mumbai 400703, India",10,10,0,1,0,10,100.0,100.0
Medexense Biochem,10,10,0,0,0,10,100.0,100.0
"May Awurade Adom Vent., Accra",10,0,6,9,0,10,100.0,0.0
"Isaac Glavi Trading Ent., Tema",10,0,3,6,0,10,100.0,0.0
"Perez Frozen Foods Limited., Accra",10,0,8,7,0,10,100.0,0.0
